"Points:0","Points:1","Points:2"
-0.0012741,-0.017547,0.087863
0.010886,-0.015786,0.088608
0.021709,-0.013399,0.087561
0.044038,-0.015299,0.068555
0.039723,-0.0070925,0.082779
0.03467,0.0033343,0.095157
0.058486,0.015312,0.080689
0.058436,0.025862,0.085495
0.053229,0.021362,0.089568
0.05989,0.031917,0.085495
0.065707,0.012151,0.067529
0.064139,0.044321,0.08141
0.060772,0.038089,0.085495
-0.075739,0.036554,0.059046
-0.076498,0.028476,0.053908
-0.081292,0.044321,0.042895
-0.083817,0.044321,0.031026
-0.083408,0.035767,0.031026
-0.080895,0.036026,0.042895
-0.078004,0.044321,0.053908
-0.08106,0.027532,0.037058
-0.077973,0.015823,0.037704
-0.072638,0.029276,0.063913
-0.074052,0.017647,0.053328
-0.059458,-0.0013987,0.064548
-0.068372,0.010632,0.060648
-0.074216,0.0020802,0.026901
-0.06153,-0.013338,0.037068
-0.068284,-0.0072096,0.02873
-0.057413,-0.0082626,0.058532
-0.069015,0.0015069,0.046736
-0.052693,-0.01927,0.045786
-0.051789,-0.025205,0.027958
-0.039601,-0.023854,0.058243
-0.041282,-0.028437,0.043769
-0.024965,-0.033372,0.052674
-0.012313,-0.039191,0.043734
-0.0040652,-0.04326,0.029736
-0.011292,-0.035855,0.05469
0.0034718,-0.038604,0.048886
0.015554,-0.037104,0.048518
0.025849,-0.029757,0.060654
0.040392,-0.025206,0.054114
0.028308,-0.035321,0.042224
0.056398,-0.021236,0.027887
0.047519,-0.022822,0.047812
0.062826,-0.0039169,0.054161
0.068719,-0.0034923,0.037058
0.06026,-0.012518,0.043169
0.075316,0.01738,0.049318
0.071287,0.006157,0.047408
0.079707,0.01468,0.0274
0.083816,0.044321,0.031026
0.078195,0.028125,0.048518
0.077622,0.036361,0.053908
-0.086048,0.044321,0.012374
-0.085628,0.03554,0.012374
-0.086053,0.035496,0
-0.086367,0.044321,-0.0061747
-0.082613,0.018148,-0.007736
-0.083924,0.022871,0.0085473
-0.078067,0.0057413,-0.0084277
-0.071776,-0.0056595,-0.007781
-0.078257,0.0059803,0.0073345
-0.069481,-0.0091652,0.0087521
-0.064224,-0.015947,-0.0078065
-0.057577,-0.022881,0.0063809
-0.040677,-0.034992,-0.0077905
-0.051095,-0.028298,-0.0070271
-0.037051,-0.036969,0.0084264
-0.029582,-0.040214,-0.0080189
-0.01705,-0.043768,-0.01014
-0.0083719,-0.045295,0.0086091
-0.0028788,-0.045505,-0.01132
-0.02224,-0.04272,0.0065682
0.0038208,-0.045568,0.0094616
0.025551,-0.041092,-0.015128
0.013156,-0.044619,-0.0073124
0.025177,-0.04183,0.0028602
0.036815,-0.037132,0.0085772
0.051749,-0.027782,0.0079214
0.036544,-0.037186,-0.0099812
0.061147,-0.019134,-0.0098691
0.060886,-0.019357,0.010253
0.069493,-0.0091503,-0.0084134
0.069379,-0.0094376,0.007338
0.078256,0.005981,-0.0073352
0.078067,0.0057413,0.0084251
0.083498,0.021739,-0.011617
0.083974,0.022387,0.0027464
0.086047,0.044321,0.012374
0.085627,0.03554,0.012374
0.085946,0.035507,0.0061747
0.085946,0.035507,-0.0061747
-0.082254,0.035886,-0.037058
-0.074069,0.044321,-0.063913
-0.079735,0.044321,-0.048518
-0.077623,0.036361,-0.053908
-0.073864,0.024713,-0.058987
-0.07945,0.024896,-0.042395
-0.07183,0.012401,-0.053758
-0.068257,-0.00041643,-0.04592
-0.058876,-0.0093673,-0.053627
-0.061029,-0.013917,-0.0371
-0.049131,-0.02348,-0.042586
-0.0388,-0.024235,-0.05903
-0.026483,-0.035306,-0.045295
-0.011311,-0.034206,-0.058843
-0.011527,-0.038523,-0.046351
-0.012203,-0.042257,-0.030394
-0.00094465,-0.03764,-0.052423
0.012285,-0.03559,-0.05546
0.027954,-0.033442,-0.049271
0.036266,-0.035242,-0.027587
0.024431,-0.039418,-0.029951
0.011994,-0.040754,-0.03826
0.037584,-0.028899,-0.048518
0.048816,-0.025139,-0.037572
0.056736,-0.0082439,-0.059746
0.059227,-0.011726,-0.047844
0.069536,0.00068178,-0.043613
0.06485,-0.00079998,-0.053908
0.081759,0.022637,-0.028616
0.071989,0.0093495,-0.049837
0.076109,0.044321,-0.059046
0.073707,0.036763,-0.063913
0.07345,0.024258,-0.059707
0.079245,0.024497,-0.042407
0.082656,0.044321,-0.037058
0.079735,0.044321,-0.048518
0.077622,0.036361,-0.053908
-0.06107,0.044321,-0.085495
-0.057336,0.038442,-0.089568
-0.057723,0.031478,-0.088039
-0.063571,0.017729,-0.075221
-0.046187,-0.00083976,-0.082787
-0.03922,0.013972,-0.098476
-0.054194,0.016478,-0.086641
-0.054195,0.0054211,-0.079276
-0.040341,-0.0092589,-0.079933
-0.017177,-0.0064674,-0.095921
-0.025831,-0.011991,-0.087172
-0.030113,-0.021465,-0.07229
-0.012792,-0.020514,-0.082746
0.0012988,-0.021649,-0.082978
0.0035241,-0.0094381,-0.095901
0.016644,-0.01736,-0.085189
0.019999,-0.0068454,-0.094336
0.034167,0.0045879,-0.096387
0.040771,-0.0098011,-0.079094
0.030204,-0.0067513,-0.089804
0.048223,0.0013283,-0.082666
0.061544,0.018336,-0.078489
0.048626,0.031035,-0.097126
0.059248,0.028425,-0.085474
0.063827,0.037776,-0.08141
0.067933,0.027865,-0.072915
0.057335,0.038442,-0.089568
0.041774,0.044321,0
0.041774,0.044321,0.020389
0.085514,0.044321,0.018623
0.072166,0.044321,0.014215
0.041774,0.044321,0.061168
-4.53e-07,0.044321,0
-4.53e-07,0.044321,0.020389
-4.53e-07,0.044321,0.061168
-0.041775,0.044321,0
-0.041775,0.044321,0.020389
-0.041775,0.044321,0.061168
-0.086367,0.044321,0.0061747
-0.085515,0.044321,0.018623
0.041774,0.044321,-0.020389
0.071639,0.044321,-0.012654
